"neighbourhood","avg_price"
"Todt Hill",518
"Longwood",494.96
"Greenwich Village",377.888888888889
"Tribeca",375.470588235294
"NoHo",374
"Flatiron District",365.7
"SoHo",362.887755102041
"Neponsit",351
"West Village",339.5859375
"Columbia St",337.75
"Financial District",326.313333333333
"Civic Center",319.8
"Midtown",300.437751004016
"DUMBO",294.285714285714
"Holliswood",289.5
"Greenpoint",288.811059907834
"Theater District",286.834710743802
"Carroll Gardens",285.327868852459
"Vinegar Hill",282.625
"Boerum Hill",281.586956521739
"Cobble Hill",268.8
"Prospect Heights",261.426470588235
"Downtown Brooklyn",258.04
"Brooklyn Heights",256.838709677419
"Sea Gate",256.076923076923
"Murray Hill",253.088397790055
"Lighthouse Hill",250
"Fieldston",248.8
"Upper West Side",247.217803030303
"Gowanus",245.323529411765
"Park Slope",242.18320610687
"Grymes Hill",242
"Nolita",239.225806451613
"Chelsea",234.165584415584
"East Village",227.808306709265
"Clinton Hill",227.747747747748
"Roosevelt Island",221.347826086957
"Arverne",220.333333333333
"Battery Park City",220.25
"Lower East Side",217.216666666667
"Hell's Kitchen",216.964285714286
"Bergen Beach",215.583333333333
"Kew Gardens Hills",213.571428571429
"Rosedale",212.034482758621
"Little Italy",210.490566037736
"Kips Bay",210.481927710843
"Willowbrook",210
"Emerson Hill",205.5
"Belle Harbor",203.333333333333
"Upper East Side",201.755485893417
"Red Hook",198.454545454545
"Bayside",197.8
"Stuyvesant Town",196.3125
"Chinatown",195.245762711864
"Gramercy",194.669491525424
"Williamsburg",193.351791530945
"Kensington",191.741935483871
"South Slope",190.622950819672
"Spuyten Duyvil",188
"Jamaica Hills",187.555555555556
"Middle Village",185.571428571429
"Fort Greene",179.747899159664
"Windsor Terrace",179.063829787234
"Riverdale",178
"Dongan Hills",168
"Crown Heights",167.88679245283
"Far Rockaway",167.264705882353
"Gerritsen Beach",167
"Harlem",166.533248081841
"Van Nest",165.222222222222
"Prince's Bay",163.8
"Long Island City",159.781914893617
"Queens Village",155.909090909091
"Mill Basin",155.8
"Edgemere",155.416666666667
"South Ozone Park",154.083333333333
"Unionport",153.8
"Castleton Corners",152.666666666667
"Springfield Gardens",152.316455696203
"Prospect-Lefferts Gardens",152.12030075188
"Sheepshead Bay",150.517857142857
"East Harlem",149.069597069597
"Flatbush",149
"Westerleigh",148.5
"Eastchester",148.125
"Bedford-Stuyvesant",147.957923008057
"Concord",145.666666666667
"Arrochar",144.75
"Rockaway Beach",141.066666666667
"West Farms",139.5
"Breezy Point",138.75
"Forest Hills",137.836734693878
"Jamaica Estates",137.583333333333
"Ridgewood",137.441860465116
"College Point",136.5
"Howland Hook",136.5
"Woodlawn",135.8
"Tremont",135.714285714286
"Castle Hill",135.6
"Pelham Bay",135.5
"City Island",135.272727272727
"Midland Beach",135.25
"East New York",135.121951219512
"Briarwood",134.541666666667
"East Flatbush",133.961783439491
"Cambria Heights",133.5
"Canarsie",133.167701863354
"Bath Beach",131.6
"Laurelton",130.318181818182
"St. George",129.851851851852
"Port Morris",129.628571428571
"Two Bridges",128.5
"University Heights",128
"Stapleton",127.769230769231
"Glendale",127.555555555556
"Flatlands",127.547169811321
"Bushwick",127.53667953668
"Mott Haven",126.75
"Bay Terrace",126.333333333333
"East Morrisania",126
"North Riverdale",124.666666666667
"Sunset Park",124.187969924812
"Bellerose",124.181818181818
"Jamaica",124.159090909091
"Gravesend",122.515151515152
"Howard Beach",122.473684210526
"Coney Island",120.9375
"Bull's Head",120.714285714286
"St. Albans",120.217391304348
"Tompkinsville",119.617647058824
"Brownsville",118.9
"East Elmhurst",118.887096774194
"Dyker Heights",118.375
"Morningside Heights",118.153846153846
"Clifton",117.25
"Throgs Neck",117.083333333333
"Washington Heights",116.9375
"Belmont",115.75
"Olinville",115.666666666667
"Randall Manor",115.266666666667
"Midwood",114.441176470588
"Claremont Village",114.210526315789
"Sunnyside",113.96
"Astoria",113.166666666667
"New Springville",113
"Baychester",112.8
"Concourse Village",111.608695652174
"Clason Point",111.6
"Soundview",111.6
"Fresh Meadows",111.5
"Inwood",111.283333333333
"Richmond Hill",110.877192982456
"Graniteville",110
"Concourse",109.535714285714
"Huguenot",109
"Ditmars Steinway",108.581632653061
"Flushing",107.563318777293
"Pelham Gardens",107.47619047619
"Tottenville",107
"New Brighton",106.5
"Whitestone",106.333333333333
"Brighton Beach",106.193548387097
"Bensonhurst",105.95652173913
"Bay Ridge",104.573770491803
"Cypress Hills",103.898305084746
"Great Kills",103.25
"Marble Hill",103
"Maspeth",102.553191489362
"Eltingville",102
"Rosebank",102
"Melrose",100.785714285714
"Shore Acres",100.75
"Morris Heights",100.444444444444
"Fort Hamilton",100.288461538462
"South Beach",100.2
"Morris Park",99.6785714285714
"Allerton",98.64
"Wakefield",97.6666666666667
"Arden Heights",97
"Douglaston",95.4
"Mount Eden",95.4
"Ozone Park",93.5681818181818
"Rego Park",92.8846153846154
"Manhattan Beach",91.4
"Westchester Square",90.3333333333333
"Bayswater",90
"Williamsbridge",89.96
"Jackson Heights",88.9615384615385
"Norwood",88.8
"Woodside",88.38
"Hollis",85.8181818181818
"Woodhaven",85.6727272727273
"Grant City",85.6666666666667
"Corona",84.5405405405405
"Parkchester",84.4
"Silver Lake",84
"Port Richmond",82.8571428571429
"Morrisania",82.6
"Mount Hope",82.1428571428571
"Schuylerville",82.1111111111111
"Borough Park",80.9615384615385
"West Brighton",78.9473684210526
"Elmhurst",78.9404761904762
"Bronxdale",78.8888888888889
"Kingsbridge",78.36
"Kew Gardens",77.8823529411765
"Mariners Harbor",77.8
"New Dorp Beach",77
"Navy Yard",75
"Little Neck",74.25
"Highbridge",72.5
"Chelsea, Staten Island",70
"Edenwald",69.4705882352941
"Fordham",66.875
"Woodrow",58.5
"Co-op City",57
"Hunts Point",55.2857142857143
